"estado","cidade","regiao","preco_medio"
"sp","guarulhos","cidade martins","380000.00"
"sp","sao paulo","belem","507500.00"
"sp","guarulhos","centro","331499.96"
"rs","canoas","bairro fatima","205444.44"
"sp","osasco","bandeiras","248375.00"
"sp","sao paulo","vila guarani zona sul","465000.00"
"sp","osasco","cidade das flores","341428.57"
"rs","contagem","oitis","340000.00"
"rj","sao goncalo","venda da cruz","255000.00"
"sp","novo hamburgo","jardim maua","410000.00"
"rs","porto alegre","sao sebastiao","275000.00"
"sp","guarulhos","vila sao rafael","240000.00"
"sp","campinas","jardim capivari","267250.00"
"sp","campinas","vila rossi","554000.00"
"sp","guarulhos","parque santo antonio","200000.00"
"sp","sao paulo","parque fongaro","385000.00"
"sp","sao paulo","cambuci","377223.08"
"rs","contagem","eldorado","386500.00"
"rs","porto alegre","pedra redonda","390000.00"
"rj","rio de janeiro","engenho de dentro","219225.00"
"sp","osasco","vila nova conceicao","273000.00"
"sp","guarulhos","vila imaculada","260000.00"
"mg","belo horizonte","cachoeirinha","675000.00"
"rs","porto alegre","morro santana","304983.33"
"sp","sao bernardo do campo","jardim iraja","200000.00"
"rs","belo horizonte","sao sebastiao","320000.00"
"sp","sao paulo","vila da saude","552666.67"
"sp","osasco","jaguaribe","368000.00"
"mg","contagem","xangri-la","290000.00"
"sp","sao paulo","vila agua funda","335000.00"
"sp","sao paulo","vila monumento","785666.67"
"rs","porto alegre","estancia velha","325000.00"
"sp","sao bernardo do campo","vila lusitania","915000.00"
"rs","belo horizonte","conjunto california","180000.00"
"sp","guarulhos","vila carioca","700000.00"
"rj","niteroi","piratininga","651666.67"
"rs","contagem","caiapos","237000.00"
"sp","sao bernardo do campo","conjunto residencial pombeva","430000.00"
"sp","campinas","jardim guarani","798000.00"
"sp","sao paulo","mirandopolis","686333.33"
"sp","sao paulo","jardim das acacias","1680000.00"
"sp","osasco","vila campesina","388976.00"
"sp","campinas","vila mimosa","221000.00"
"rj","rio de janeiro","tanque","262000.00"
"sp","guarulhos","vila venditti","327500.00"
"sp","sao paulo","vila bela","366000.00"
"rj","niteroi","engenho do mato","620200.00"
"sp","sao paulo","vila clementino","404425.00"
"mg","belo horizonte","sao joao batista","330000.00"
"sp","guarulhos","ponte grande","475000.00"
"mg","belo horizonte","palmares","315000.00"
"rs","contagem","parque maracana","174500.00"
"rs","porto alegre","sarandi","211666.67"
"rs","belo horizonte","urca","220000.00"
"sp","campinas","taquaral","579999.67"
"rj","rio de janeiro","camorim","172500.00"
"sp","osasco","city bussocaba","460000.00"
"rj","rio de janeiro","riachuelo","180000.00"
"sp","guarulhos","picaco","575000.00"
"sp","sao paulo","chacara belenzinho","200000.00"
"rj","niteroi","santa rosa ","485000.00"
"sp","guarulhos","jardim santa beatriz","1030000.00"
"sp","campinas","jardim flamboyant","294500.00"
"mg","belo horizonte","horto","305000.00"
"sp","guarulhos","vila barros","504600.00"
"sp","sao bernardo do campo","jardim das quatro marias","340000.00"
"mg","belo horizonte","parque copacabana","180000.00"
"sp","sao paulo","mooca","504187.50"
"sp","novo hamburgo","hamburgo velho","314229.43"
"rs","canoas","centro","366350.83"
"sp","osasco","novo osasco","315093.33"
"rs","contagem","vila beneves","890000.00"
"sp","campinas","jardim pauliceia","211363.00"
"sp","sao paulo","lauzane paulista","280000.00"
"rs","porto alegre","gloria","278700.00"
"rj","rio de janeiro","freguesia jacarepagua","292777.78"
"sp","sao paulo","jardim artur alvim","220000.00"
"sp","campinas","jardim samambaia","264420.50"
