"estado","cidade","regiao","total_imoveis"
"sp","guarulhos","jardim nova taboao","2"
"sp","campinas","vila italia","2"
"sp","guarulhos","parque continental i","2"
"rs","belo horizonte","urca","2"
"rs","contagem","tijuca","2"
"sp","osasco","city bussocaba","2"
"rj","rio de janeiro","riachuelo","2"
"sp","guarulhos","picaco","2"
"sp","sao paulo","chacara belenzinho","2"
"rj","niteroi","santa rosa ","2"
"sp","guarulhos","jardim santa beatriz","2"
"rs","contagem","pedra azul","2"
"rj","rio de janeiro","barra da tijuca","2"
"sp","sao bernardo do campo","jardim das quatro marias","2"
"mg","belo horizonte","parque copacabana","2"
"sp","campinas","vila lemos","2"
"sp","guarulhos","jardim flor do campo","2"
"sp","sao bernardo do campo","jardim paramount","2"
"sp","sao paulo","lauzane paulista","2"
"rs","porto alegre","agronomia","2"
"sp","guarulhos","vila rio","2"
"sp","sao paulo","jardim artur alvim","2"
"sp","guarulhos","vila miriam","2"
"sp","sao paulo","vila ema","2"
"sp","campinas","parque imperador","2"
"sp","sao paulo","vila regente feijo","2"
"sp","campinas","jardim do vovo","2"
"mg","belo horizonte","aparecida","2"
"rs","belo horizonte","vila magnesita","2"
"rs","porto alegre","vila sao jose","2"
"sp","guarulhos","parque continental ii","2"
"rs","porto alegre","auxiliadora","2"
"mg","belo horizonte","betania","2"
"mg","belo horizonte","madre gertrudes","2"
"sp","sao paulo","jardim independencia","2"
"sp","novo hamburgo","sao jose","2"
"rj","rio de janeiro","rocha","2"
"mg","belo horizonte","planalto","2"
"sp","sao paulo","cidade moncoes","2"
"mg","belo horizonte","salgado filho","2"
"rs","contagem","lucio de abreu","2"
"sp","sao bernardo do campo","vila jupiter","2"
"sp","campinas","jardim aero continental","2"
"sp","osasco","alianca","2"
"sp","sao paulo","vila moinho velho","2"
"mg","belo horizonte","barro preto","2"
"sp","sao paulo","vila dom pedro i","2"
"rs","porto alegre","vila jardim","2"
"rj","niteroi","pe pequeno","2"
"sp","novo hamburgo","rondonia ","2"
"rs","porto alegre","santana","2"
"sp","campinas","cidade universitaria","2"
"sp","sao paulo","vila zelina","2"
"rs","sao leopoldo","sao joao batista","2"
"rs","belo horizonte","alipio de melo","2"
"sp","sao bernardo do campo","jardim nova petropolis","2"
"sp","guarulhos","jardim crepusculo","2"
"sp","taboao sao bernardo do campo","taboao","2"
"sp","sao bernardo do campo","vila tereza","2"
"sp","guarulhos","vila maricy","2"
"rs","sao leopoldo","vila teresa","2"
"sp","sao paulo","jardim paulista","2"
"rs","contagem","santa maria","2"
"sp","campinas","jardim bela vista","2"
"mg","belo horizonte","sao cristovao ","2"
"mg","belo horizonte","palmeiras","2"
"rs","porto alegre","chacara das pedras","2"
"sp","campinas","parque das cachoeiras","2"
"sp","sao paulo","jardim ester yolanda","2"
"mg","belo horizonte","conj. california","2"
"sp","sao paulo","higienopolis","2"
"rs","contagem","empresarial do mandu","2"
"sp","sao paulo","sitio da figueira","2"
"sp","sao bernardo do campo","parque sao jose","2"
"sp","sao bernardo do campo","vila jordanopolis","2"
"sp","guarulhos","jardim sao roberto","2"
"mg","belo horizonte","vila copacabana","2"
"sp","campinas","jardim carlos lourenco","2"
"rs","sao leopoldo","feitoria seller","2"
"rs","contagem","arpoador","2"
"mg","belo horizonte","vila magnesita","2"
"sp","sao bernardo do campo","vila alvinopolis","2"
"sp","campinas","jardim chapadao","2"
"sp","sao paulo","aclimacao","2"
"sp","sao bernardo do campo","vila caminho do mar","2"
"sp","campinas","jardim alto da barra","2"
"rj","niteroi","muriqui","2"
"mg","belo horizonte","dona clara","2"
"sp","sao bernardo do campo","nova petropolis ","2"
"sp","campinas","chacaras campos eliseos","2"
"sp","sao paulo","itaim bibi","2"
"rj","rio de janeiro","penha","2"
"sp","campinas","jardim roseira","2"
"sp","campinas","vila saturnia","2"
"rs","porto alegre","guaruja","2"
"sp","guarulhos","vila lanzara","2"
"rs","contagem","ressaca","2"
"rs","betim","jardim alterosa","2"
"sp","sao paulo","vila das merces","2"
"mg","belo horizonte","cinquentenario","2"
"mg","belo horizonte","silveira","2"
"rs","contagem","tijuco","2"
"rj","rio de janeiro","abolicao","2"
"sp","sao paulo","sao lucas","2"
"sp","guarulhos","jardim paraiso","2"
"rs","porto alegre","vila ipiranga","2"
"sp","sao paulo","planalto paulista","2"
"rj","rio de janeiro","benfica","2"
"mg","belo horizonte","luxemburgo","2"
"sp","sao paulo","jardim vergueiro sacoma","2"
"sp","sao bernardo do campo","vila sao silverio","2"
