"regiao","tipo","num_anuncios","preco_medio"
"loteamento parque sao martinho","apartamento","2","215000.00"
"lourdes","apartamento","4","450000.00"
"lucio de abreu","casa","2","300000.00"
"luxemburgo","apartamento","2","820000.00"
"macedo","apartamento","60","370321.67"
"macedo","casa","8","555000.00"
"maceio","apartamento","14","405000.00"
"maceio","casa","2","1425000.00"
"madre gertrudes","apartamento","6","258000.00"
"madre gertrudes","casa","4","457500.00"
"madureira","apartamento","8","213987.50"
"manacas","apartamento","4","309950.00"
"mansoes santo antonio","apartamento","6","646666.67"
"mantiqueira","casa","2","170000.00"
"maracana","apartamento","4","590000.00"
"maravista","casa","4","735000.00"
"marechal rondon","apartamento","34","376058.82"
"marechal rondon","casa","2","520000.00"
"marechal rondon","studio","2","470000.00"
"maria paula","apartamento","4","227500.00"
"maria paula","casa","16","602500.00"
"mario quintana","apartamento","2","150000.00"
"mario quintana","casa","2","685000.00"
"mata paca","casa","4","682500.00"
"matapaca","casa","2","435000.00"
"mathias velho","apartamento","4","155000.00"
"mathias velho","casa","12","385833.33"
"mato grande","apartamento","68","180982.35"
"mato grande","casa","16","249375.00"
"maua","apartamento","4","412500.00"
"maua","casa","2","385000.00"
"medianeira","apartamento","6","280000.00"
"medianeira","casa","4","319500.00"
"meier","apartamento","6","243333.33"
"menino deus","apartamento","10","270980.00"
"menino deus","studio","2","120000.00"
"metalurgicos","apartamento","4","212500.00"
"metalurgicos","casa","4","389500.00"
"milanez","apartamento","2","165000.00"
"milionarios","casa","2","160000.00"
"miramar barreiro","casa","4","252500.00"
"mirandopolis","apartamento","2","1484000.00"
"mirandopolis","studio","4","287500.00"
"moema","apartamento","2","1500000.00"
"montanhao","apartamento","6","210000.00"
"montanhao","casa","2","200000.00"
"monte azul","apartamento","2","175000.00"
"monte castelo","apartamento","2","260000.00"
"mooca","apartamento","32","504187.50"
"morro do confisco","apartamento","4","260500.00"
"morro do espelho","apartamento","2","350000.00"
"morros","apartamento","2","250000.00"
"morro santana","apartamento","6","249966.67"
"morro santana","casa","6","360000.00"
"morumbi","apartamento","2","285000.00"
"muriqui","casa","2","550000.00"
"nacional","apartamento","6","209666.67"
"nascentes imperiais","casa","2","230000.00"
"niteroi","apartamento","6","189666.67"
"niteroi","casa","14","335571.43"
"nonoai","apartamento","20","278550.00"
"nonoai","casa","2","350000.00"
"nossa senhora das gracas","apartamento","16","289625.00"
"nossa senhora das gracas","casa","14","387714.29"
"nova cachoeirinha","apartamento","6","291666.67"
"nova cachoeirinha","casa","4","312500.00"
"nova campinas","apartamento","4","474000.00"
"nova cintra","casa","2","200000.00"
"nova esperanca","apartamento","2","380000.00"
"nova esperanca","casa","2","300000.00"
"nova floresta","apartamento","2","305000.00"
"nova gameleira","apartamento","2","330000.00"
"nova granada","apartamento","2","560000.00"
"nova petropolis","apartamento","18","333399.78"
"nova petropolis","casa","10","609100.00"
"nova petropolis ","apartamento","2","260000.00"
"nova suica","apartamento","4","347000.00"
"nova vista","apartamento","4","347500.00"
"novo eldorado","apartamento","14","334285.71"
"novo eldorado","casa","6","512666.67"
"novo gloria","casa","6","451666.67"
"novo osasco","apartamento","39","309312.82"
"novo osasco","casa","6","352666.67"
"novo riacho","apartamento","12","247483.33"
"oitis","casa","2","340000.00"
"olaria","apartamento","20","171600.00"
"olaria","casa","16","275500.00"
"operario","apartamento","6","255000.00"
"operario","casa","6","324333.33"
"ouro branco","apartamento","10","201034.00"
"ouro preto","apartamento","6","446000.00"
"padre eustaquio","apartamento","18","410000.00"
"padre eustaquio","casa","2","475000.00"
"padroeira","apartamento","14","268520.43"
"padroeira","casa","8","293750.00"
"palmares","apartamento","2","320000.00"
"palmares","casa","2","310000.00"
"palmeiras","apartamento","2","490000.00"
"pampulha","apartamento","2","433000.00"
"paqueta","apartamento","6","316333.33"
"paqueta","casa","2","160000.00"
"parada de lucas","apartamento","2","165000.00"
"parada xv de novembro","apartamento","2","230000.00"
"parada xv de novembro","casa","2","260000.00"
"paraiso","apartamento","4","2000000.00"
"parque brasilia","apartamento","2","220000.00"
"parque camboriu","casa","2","450000.00"
"parque cecap","apartamento","16","337625.00"
"parque cecap","casa","2","300000.00"
"parque continental i","casa","2","200000.00"
"parque continental ii","casa","2","780000.00"
"parque copacabana","apartamento","2","180000.00"
"parque da mooca","apartamento","8","499825.00"
"parque das cachoeiras","apartamento","2","290000.00"
"parque dos passaros","apartamento","2","255000.00"
"parque espacial","apartamento","2","272000.00"
"parque fazendinha","apartamento","10","357400.00"
"parque flamengo","casa","4","770000.00"
"parque fongaro","casa","2","385000.00"
"parque imperador","casa","2","550000.00"
"parque ipiranga","casa","2","455000.00"
"parque jabaquara","casa","2","250000.00"
"parque maracana","apartamento","10","174500.00"
"parque prado","apartamento","4","550000.00"
"parque renato maia","apartamento","4","294000.00"
"parque residencial vila uniao","apartamento","30","170732.67"
"parque residencial vila uniao","casa","2","580000.00"
"parque res. vila uniao","apartamento","2","155000.00"
"parque riacho das pedras 2a secao","apartamento","2","180000.00"
"parque santo antonio","casa","2","200000.00"
"parque sao jose","casa","2","650000.00"
"parque selecta","apartamento","2","220000.00"
"parque taquaral","casa","2","575000.00"
